# vtime(s),emu-avail(%) for mode:fixed:replication target-avail(%)=0.9000
5,1.0000
10,1.0000
14,1.0000
14,1.0000
15,1.0000
18,1.0000
23,1.0000
26,1.0000
31,1.0000
34,1.0000
36,1.0000
38,1.0000
42,1.0000
44,1.0000
46,1.0000
50,1.0000
50,1.0000
54,1.0000
57,1.0000
61,1.0000
66,1.0000
68,1.0000
69,1.0000
73,1.0000
78,1.0000
78,1.0000
80,1.0000
82,1.0000
85,1.0000
88,1.0000
92,1.0000
94,1.0000
97,1.0000
99,1.0000
100,1.0000
100,1.0000
101,1.0000
102,1.0000
105,1.0000
109,1.0000
112,1.0000
113,1.0000
114,1.0000
116,1.0000
116,1.0000
119,1.0000
121,1.0000
121,1.0000
121,1.0000
125,1.0000
129,1.0000
129,1.0000
134,1.0000
138,1.0000
141,1.0000
143,1.0000
146,1.0000
148,1.0000
153,1.0000
155,1.0000
158,1.0000
159,1.0000
159,1.0000
162,1.0000
167,1.0000
171,1.0000
171,1.0000
171,1.0000
174,1.0000
176,1.0000
179,1.0000
181,1.0000
185,1.0000
186,1.0000
190,1.0000
193,1.0000
196,1.0000
198,1.0000
199,1.0000
203,1.0000
208,1.0000
210,1.0000
212,1.0000
217,1.0000
217,1.0000
220,1.0000
222,1.0000
227,1.0000
230,1.0000
232,1.0000
233,1.0000
233,1.0000
236,1.0000
239,1.0000
243,1.0000
247,1.0000
250,1.0000
254,1.0000
257,1.0000
261,1.0000
262,1.0000
264,1.0000
264,1.0000
264,1.0000
266,1.0000
267,1.0000
271,1.0000
275,1.0000
276,1.0000
281,1.0000
284,1.0000
286,1.0000
290,1.0000
294,1.0000
299,1.0000
304,1.0000
306,1.0000
309,1.0000
310,1.0000
313,1.0000
315,1.0000
317,1.0000
319,1.0000
322,1.0000
323,1.0000
325,1.0000
327,1.0000
330,1.0000
334,1.0000
336,1.0000
339,1.0000
342,1.0000
347,1.0000
348,1.0000
351,1.0000
355,1.0000
357,1.0000
359,1.0000
363,1.0000
366,1.0000
368,1.0000
370,1.0000
371,1.0000
371,1.0000
374,1.0000
374,1.0000
378,1.0000
380,1.0000
382,1.0000
383,1.0000
387,1.0000
387,1.0000
390,1.0000
392,1.0000
396,1.0000
400,1.0000
405,1.0000
408,1.0000
413,1.0000
417,1.0000
420,1.0000
424,1.0000
425,1.0000
429,1.0000
432,1.0000
437,1.0000
441,1.0000
445,1.0000
447,1.0000
452,1.0000
456,1.0000
460,1.0000
462,1.0000
462,1.0000
462,1.0000
465,1.0000
466,1.0000
471,1.0000
472,1.0000
472,1.0000
477,1.0000
478,1.0000
482,1.0000
486,1.0000
487,1.0000
492,1.0000
493,1.0000
496,1.0000
499,1.0000
502,1.0000
503,1.0000
506,1.0000
508,1.0000
509,1.0000
509,1.0000
511,1.0000
513,1.0000
515,1.0000
515,1.0000
518,1.0000
522,1.0000
527,1.0000
527,1.0000
530,1.0000
534,1.0000
536,1.0000
541,1.0000
544,1.0000
546,1.0000
546,1.0000
548,1.0000
551,1.0000
555,1.0000
559,1.0000
562,1.0000
566,1.0000
568,1.0000
571,1.0000
572,1.0000
574,1.0000
579,1.0000
582,1.0000
585,1.0000
589,1.0000
593,1.0000
597,1.0000
599,1.0000
604,1.0000
607,1.0000
611,1.0000
614,1.0000
618,1.0000
619,1.0000
619,1.0000
621,1.0000
625,1.0000
626,1.0000
631,1.0000
636,1.0000
637,1.0000
639,1.0000
640,1.0000
641,1.0000
645,1.0000
645,1.0000
647,1.0000
651,1.0000
653,1.0000
654,1.0000
658,1.0000
659,1.0000
660,1.0000
664,1.0000
666,1.0000
667,1.0000
668,1.0000
671,1.0000
671,1.0000
672,1.0000
672,1.0000
674,1.0000
677,1.0000
681,1.0000
683,1.0000
687,1.0000
687,1.0000
692,1.0000
694,1.0000
697,1.0000
701,1.0000
706,1.0000
710,1.0000
713,1.0000
717,1.0000
719,1.0000
722,1.0000
723,1.0000
723,1.0000
724,1.0000
728,1.0000
730,1.0000
732,1.0000
733,1.0000
736,1.0000
737,1.0000
739,1.0000
740,1.0000
744,1.0000
745,1.0000
749,1.0000
750,1.0000
750,1.0000
754,1.0000
757,1.0000
761,1.0000
766,1.0000
766,1.0000
771,1.0000
772,1.0000
776,1.0000
780,1.0000
783,1.0000
786,1.0000
790,1.0000
790,1.0000
791,1.0000
794,1.0000
799,1.0000
802,1.0000
804,1.0000
806,1.0000
806,1.0000
810,1.0000
812,1.0000
812,1.0000
814,1.0000
817,1.0000
821,1.0000
825,1.0000
826,1.0000
829,1.0000
832,1.0000
835,1.0000
838,1.0000
843,1.0000
847,1.0000
848,1.0000
849,1.0000
849,1.0000
850,1.0000
852,1.0000
855,1.0000
857,1.0000
862,1.0000
867,1.0000
872,1.0000
874,1.0000
879,1.0000
882,1.0000
884,1.0000
886,1.0000
889,1.0000
892,1.0000
894,1.0000
896,1.0000
896,1.0000
900,1.0000
904,1.0000
908,1.0000
912,1.0000
913,1.0000
917,1.0000
922,1.0000
923,1.0000
927,1.0000
930,1.0000
930,1.0000
931,1.0000
931,1.0000
934,1.0000
936,1.0000
939,1.0000
943,1.0000
946,1.0000
948,1.0000
953,1.0000
953,1.0000
958,1.0000
961,1.0000
961,1.0000
963,1.0000
967,1.0000
970,1.0000
973,1.0000
976,1.0000
977,1.0000
978,1.0000
978,1.0000
978,1.0000
978,1.0000
981,1.0000
985,1.0000
989,1.0000
990,1.0000
990,1.0000
995,1.0000
1000,1.0000
1004,1.0000
1008,1.0000
1011,1.0000
1014,1.0000
1015,1.0000
1015,1.0000
1018,1.0000
1018,1.0000
1019,1.0000
1020,1.0000
1023,1.0000
1025,1.0000
1027,1.0000
1028,1.0000
1031,1.0000
1034,1.0000
1037,1.0000
1038,1.0000
1039,1.0000
1041,1.0000
1044,1.0000
1049,1.0000
1054,1.0000
1055,1.0000
1055,1.0000
1059,1.0000
1061,1.0000
1065,1.0000
1068,1.0000
1071,1.0000
1075,1.0000
1078,1.0000
1082,1.0000
1084,1.0000
1086,1.0000
1087,1.0000
1090,1.0000
1091,1.0000
1094,1.0000
1099,1.0000
1099,1.0000
1100,1.0000
1105,1.0000
1109,1.0000
1109,1.0000
1112,1.0000
1113,1.0000
1116,1.0000
1119,1.0000
1124,1.0000
1126,1.0000
1129,1.0000
1134,1.0000
1135,1.0000
1136,1.0000
1137,1.0000
1138,1.0000
1140,1.0000
1145,1.0000
1146,1.0000
1149,1.0000
1153,1.0000
1157,1.0000
1160,1.0000
1162,1.0000
1164,1.0000
1166,1.0000
1168,1.0000
1169,1.0000
1172,1.0000
1174,1.0000
1177,1.0000
1178,1.0000
1181,1.0000
1182,1.0000
1187,1.0000
1191,1.0000
1194,1.0000
1198,1.0000
1202,1.0000
1204,1.0000
1209,1.0000
1212,1.0000
1215,1.0000
1220,1.0000
1223,1.0000
1225,1.0000
1227,1.0000
1232,1.0000
1233,1.0000
1233,1.0000
1237,1.0000
1239,1.0000
1243,1.0000
1247,1.0000
1250,1.0000
1253,1.0000
1257,1.0000
1260,1.0000
1260,1.0000
1260,1.0000
1264,1.0000
1265,1.0000
1267,1.0000
1270,1.0000
1274,1.0000
1279,1.0000
1279,1.0000
1280,1.0000
1284,1.0000
1285,1.0000
1287,1.0000
1288,1.0000
1289,1.0000
1292,1.0000
1293,1.0000
1298,1.0000
1299,1.0000
1300,1.0000
1305,1.0000
1309,1.0000
1309,1.0000
1311,1.0000
1315,1.0000
1319,1.0000
1322,1.0000
1326,1.0000
1330,1.0000
1334,1.0000
1337,1.0000
1340,1.0000
1345,1.0000
1346,1.0000
1347,1.0000
1348,1.0000
1352,1.0000
1353,1.0000
1358,1.0000
1359,1.0000
1361,1.0000
1363,1.0000
1366,1.0000
1371,1.0000
1373,1.0000
1374,1.0000
1379,1.0000
1380,1.0000
1382,1.0000
1384,1.0000
1384,1.0000
1389,1.0000
1389,1.0000
1394,1.0000
1398,1.0000
1400,1.0000
1402,1.0000
1404,1.0000
1407,1.0000
1410,1.0000
1411,1.0000
1414,1.0000
1419,1.0000
1420,1.0000
1420,1.0000
1421,1.0000
1423,1.0000
1425,1.0000
1426,1.0000
1429,1.0000
1431,1.0000
1433,1.0000
1436,1.0000
1439,1.0000
1444,1.0000
1445,1.0000
1450,1.0000
1454,1.0000
1457,1.0000
1460,1.0000
1463,1.0000
1465,1.0000
1465,1.0000
1469,1.0000
1471,1.0000
1471,1.0000
1475,1.0000
1475,1.0000
1477,1.0000
1479,1.0000
1480,1.0000
1483,1.0000
1484,1.0000
1484,1.0000
1484,1.0000
1487,1.0000
1487,1.0000
1491,1.0000
1492,1.0000
1493,1.0000
1494,1.0000
1496,1.0000
1496,1.0000
1498,1.0000
1499,1.0000
1502,1.0000
1505,1.0000
1508,1.0000
1512,1.0000
1515,1.0000
1516,1.0000
1517,1.0000
1519,1.0000
1523,1.0000
1525,1.0000
1528,1.0000
1529,1.0000
1532,1.0000
1534,1.0000
1538,1.0000
1540,1.0000
1543,1.0000
1547,1.0000
1549,1.0000
1554,1.0000
1556,1.0000
1560,1.0000
1563,1.0000
1566,1.0000
1571,1.0000
1573,1.0000
1574,1.0000
1576,1.0000
1579,1.0000
1583,1.0000
1583,1.0000
1588,1.0000
1592,1.0000
1595,1.0000
1599,1.0000
1600,1.0000
1604,1.0000
1608,1.0000
1612,1.0000
1615,1.0000
1615,1.0000
1618,1.0000
1622,1.0000
1622,1.0000
1626,1.0000
1628,1.0000
1628,1.0000
1628,1.0000
1631,1.0000
1636,1.0000
1637,1.0000
1641,1.0000
1641,1.0000
1645,1.0000
1646,1.0000
1651,1.0000
1655,1.0000
1659,1.0000
1659,1.0000
1663,1.0000
1667,1.0000
1669,1.0000
1673,1.0000
1678,1.0000
1681,1.0000
1684,1.0000
1689,1.0000
1692,1.0000
1692,1.0000
1694,1.0000
1697,1.0000
1702,1.0000
1704,1.0000
1705,1.0000
1708,1.0000
1713,1.0000
1713,1.0000
1716,1.0000
1718,1.0000
1718,1.0000
1720,1.0000
1723,1.0000
1727,1.0000
1729,1.0000
1731,1.0000
1732,1.0000
1733,1.0000
1735,1.0000
1735,1.0000
1736,1.0000
1739,1.0000
1742,1.0000
1745,1.0000
1746,1.0000
1748,1.0000
1753,1.0000
1755,1.0000
1758,1.0000
1758,1.0000
1760,1.0000
1762,1.0000
1764,1.0000
1766,1.0000
1767,1.0000
1768,1.0000
1773,1.0000
1774,1.0000
1776,1.0000
1777,1.0000
1777,1.0000
1781,1.0000
1783,1.0000
1787,1.0000
1788,1.0000
1789,1.0000
1790,1.0000
1795,1.0000
1798,1.0000
1803,1.0000
1804,1.0000
1806,1.0000
1809,1.0000
1809,1.0000
1809,1.0000
1812,1.0000
1815,1.0000
1816,1.0000
1818,1.0000
1819,1.0000
1821,1.0000
1824,1.0000
1828,1.0000
1832,1.0000
1836,1.0000
1839,1.0000
1839,1.0000
1842,1.0000
1842,1.0000
1845,1.0000
1847,1.0000
1850,1.0000
1854,1.0000
1858,1.0000
1863,1.0000
1863,1.0000
1866,1.0000
1870,1.0000
1871,1.0000
1872,1.0000
1874,1.0000
1875,1.0000
1878,1.0000
1880,1.0000
1882,1.0000
1884,1.0000
1885,1.0000
1886,1.0000
1890,1.0000
1894,1.0000
1899,1.0000
1903,1.0000
1907,1.0000
1910,1.0000
1913,1.0000
1918,1.0000
1920,1.0000
1922,1.0000
1924,1.0000
1925,1.0000
1925,1.0000
1926,1.0000
1926,1.0000
1931,1.0000
1934,1.0000
1935,1.0000
1940,1.0000
1944,1.0000
1949,1.0000
1953,1.0000
1956,1.0000
1957,1.0000
1961,1.0000
1965,1.0000
1969,1.0000
1972,1.0000
1974,1.0000
1977,1.0000
1977,1.0000
1980,1.0000
1982,1.0000
1986,1.0000
1987,1.0000
1989,1.0000
1990,1.0000
1990,1.0000
1993,1.0000
1993,1.0000
1994,1.0000
1995,1.0000
1996,1.0000
1999,1.0000
2002,1.0000
2002,1.0000
2005,1.0000
2005,1.0000
2008,1.0000
2010,1.0000
2012,1.0000
2013,1.0000
2013,1.0000
2017,1.0000
2018,1.0000
2019,1.0000
2020,1.0000
2025,1.0000
2025,1.0000
2025,1.0000
2027,1.0000
2027,1.0000
2032,1.0000
2036,1.0000
2036,1.0000
2036,1.0000
2038,1.0000
2041,1.0000
2043,1.0000
2044,1.0000
2048,1.0000
2052,1.0000
2054,1.0000
2058,1.0000
2059,1.0000
2062,1.0000
2065,1.0000
2070,1.0000
2074,1.0000
2076,1.0000
2079,1.0000
2083,1.0000
2086,1.0000
2091,1.0000
2096,1.0000
2101,1.0000
2106,1.0000
2107,1.0000
2110,1.0000
2112,1.0000
2115,1.0000
2115,1.0000
2118,1.0000
2120,1.0000
2121,1.0000
2124,1.0000
2125,1.0000
2126,1.0000
2131,1.0000
2134,1.0000
2139,1.0000
2140,1.0000
2141,1.0000
2143,1.0000
2148,1.0000
2150,1.0000
2152,1.0000
2157,1.0000
2161,1.0000
2166,1.0000
2168,1.0000
2169,1.0000
2171,1.0000
2174,1.0000
2177,1.0000
2178,1.0000
2183,1.0000
2185,1.0000
2188,1.0000
2193,1.0000
2194,1.0000
2196,1.0000
2199,1.0000
2203,1.0000
2205,1.0000
2209,1.0000
2213,1.0000
2214,1.0000
2216,1.0000
2219,1.0000
2220,1.0000
2223,1.0000
2226,1.0000
2227,1.0000
2228,1.0000
2231,1.0000
2232,1.0000
2236,1.0000
2236,1.0000
2240,1.0000
2243,1.0000
2247,1.0000
2249,1.0000
2250,1.0000
2254,1.0000
2257,1.0000
2260,1.0000
2261,1.0000
2264,1.0000
2264,1.0000
2266,1.0000
2268,1.0000
2269,1.0000
2271,1.0000
2272,1.0000
2275,1.0000
2275,1.0000
2278,1.0000
2283,1.0000
2286,1.0000
2286,1.0000
2291,1.0000
2293,1.0000
2295,1.0000
2297,1.0000
2300,1.0000
2303,1.0000
2306,1.0000
2311,1.0000
2313,1.0000
2317,1.0000
2322,1.0000
2327,1.0000
2328,1.0000
2330,1.0000
2330,1.0000
2330,1.0000
2334,1.0000
2339,1.0000
2339,1.0000
2344,1.0000
2349,1.0000
2351,1.0000
2352,1.0000
2357,1.0000
2358,1.0000
2359,1.0000
2363,1.0000
2366,1.0000
2368,1.0000
2371,1.0000
2374,1.0000
2376,1.0000
2376,1.0000
2380,1.0000
2384,1.0000
2386,1.0000
2387,1.0000
2388,1.0000
2393,1.0000
2397,1.0000
2399,1.0000
2400,1.0000
2404,1.0000
2409,1.0000
2411,1.0000
2413,1.0000
2415,1.0000
2419,1.0000
2422,1.0000
2424,1.0000
2428,1.0000
2428,1.0000
2432,1.0000
2433,1.0000
2437,1.0000
2441,1.0000
2441,1.0000
2446,1.0000
2449,1.0000
2453,1.0000
2456,1.0000
2459,1.0000
2459,1.0000
2459,1.0000
2460,1.0000
2460,1.0000
2463,1.0000
2468,1.0000
2470,1.0000
2473,1.0000
2475,1.0000
2479,1.0000
2481,1.0000
2482,1.0000
2485,1.0000
2485,1.0000
2489,1.0000
2490,1.0000
2491,1.0000
2492,1.0000
2493,1.0000
2494,1.0000
2496,1.0000
2497,1.0000
2500,1.0000
2500,1.0000
2500,1.0000
