# vtime(s),emu-avail(%) for mode:random target-avail(%)=0.9000
3,1.0000
5,0.5000
6,0.3333
9,0.5000
13,0.6000
15,0.6667
18,0.7143
20,0.7500
23,0.6667
25,0.6000
26,0.5455
30,0.5000
32,0.5385
34,0.5714
35,0.6000
38,0.6250
39,0.6471
40,0.6667
42,0.6842
47,0.7000
49,0.7143
52,0.7273
53,0.7391
57,0.7500
60,0.7600
64,0.7692
69,0.7778
73,0.7857
76,0.7931
78,0.8000
78,0.8065
81,0.8125
82,0.8182
85,0.8235
87,0.8286
89,0.8333
90,0.8378
90,0.8421
92,0.8462
94,0.8500
97,0.8537
101,0.8571
103,0.8605
108,0.8636
108,0.8667
111,0.8696
114,0.8723
116,0.8750
118,0.8776
122,0.8800
124,0.8824
128,0.8846
131,0.8868
136,0.8889
136,0.8909
139,0.8929
140,0.8947
142,0.8966
143,0.8983
145,0.9000
149,0.9016
150,0.9032
152,0.9048
155,0.9062
159,0.9077
161,0.9091
162,0.9104
163,0.9118
165,0.9130
167,0.9143
171,0.9155
176,0.9167
177,0.9178
182,0.9189
183,0.9200
188,0.9211
193,0.9221
197,0.9231
197,0.9241
200,0.9250
205,0.9259
208,0.9268
213,0.9277
215,0.9286
216,0.9294
221,0.9302
223,0.9310
223,0.9318
227,0.9326
230,0.9333
231,0.9341
236,0.9348
237,0.9355
239,0.9362
243,0.9368
247,0.9375
251,0.9381
253,0.9388
254,0.9394
256,0.9400
258,0.9406
262,0.9412
262,0.9417
267,0.9423
270,0.9429
271,0.9434
274,0.9439
276,0.9444
280,0.9450
284,0.9455
285,0.9459
289,0.9464
292,0.9469
295,0.9474
300,0.9478
302,0.9483
306,0.9487
307,0.9492
308,0.9496
311,0.9500
311,0.9504
313,0.9508
315,0.9512
316,0.9516
316,0.9520
317,0.9524
320,0.9528
324,0.9531
327,0.9535
331,0.9538
334,0.9542
335,0.9545
337,0.9549
342,0.9552
342,0.9556
347,0.9559
350,0.9562
352,0.9565
355,0.9568
360,0.9571
362,0.9574
366,0.9577
368,0.9580
372,0.9583
377,0.9586
377,0.9589
381,0.9592
385,0.9595
389,0.9597
389,0.9600
393,0.9603
394,0.9605
397,0.9608
398,0.9610
400,0.9613
400,0.9615
402,0.9618
403,0.9620
404,0.9623
406,0.9625
410,0.9627
411,0.9630
413,0.9632
413,0.9634
414,0.9636
418,0.9639
422,0.9641
424,0.9643
425,0.9645
425,0.9647
427,0.9649
427,0.9651
429,0.9653
432,0.9655
432,0.9657
434,0.9659
436,0.9661
440,0.9663
443,0.9665
446,0.9667
450,0.9669
454,0.9670
458,0.9672
461,0.9674
466,0.9676
469,0.9677
472,0.9679
474,0.9681
477,0.9683
477,0.9684
477,0.9686
480,0.9688
485,0.9689
486,0.9691
489,0.9692
494,0.9694
498,0.9695
501,0.9697
504,0.9698
507,0.9700
509,0.9701
513,0.9703
514,0.9704
518,0.9706
521,0.9707
522,0.9709
523,0.9710
524,0.9712
524,0.9713
525,0.9714
530,0.9716
533,0.9717
537,0.9718
538,0.9720
542,0.9721
542,0.9722
542,0.9724
546,0.9725
548,0.9726
548,0.9727
551,0.9729
554,0.9730
554,0.9731
555,0.9732
555,0.9733
555,0.9735
558,0.9736
563,0.9737
566,0.9738
568,0.9739
571,0.9740
572,0.9741
575,0.9742
579,0.9744
580,0.9745
583,0.9746
587,0.9747
589,0.9748
590,0.9749
594,0.9750
597,0.9751
599,0.9752
601,0.9753
603,0.9754
603,0.9755
606,0.9756
606,0.9757
608,0.9758
612,0.9759
616,0.9760
619,0.9761
622,0.9762
623,0.9763
624,0.9764
626,0.9765
629,0.9766
632,0.9767
637,0.9767
639,0.9768
641,0.9769
641,0.9770
644,0.9733
645,0.9696
648,0.9659
652,0.9623
656,0.9586
661,0.9551
664,0.9515
664,0.9480
665,0.9444
670,0.9410
674,0.9375
679,0.9341
681,0.9307
684,0.9273
686,0.9275
687,0.9278
691,0.9281
692,0.9283
695,0.9286
696,0.9288
696,0.9291
701,0.9293
702,0.9296
705,0.9298
709,0.9301
712,0.9303
714,0.9306
717,0.9308
720,0.9310
723,0.9313
726,0.9315
729,0.9317
731,0.9320
734,0.9322
737,0.9324
737,0.9327
739,0.9329
740,0.9331
740,0.9333
741,0.9336
745,0.9338
745,0.9340
749,0.9342
752,0.9344
755,0.9346
757,0.9349
757,0.9351
758,0.9353
760,0.9355
762,0.9357
765,0.9359
765,0.9361
769,0.9363
770,0.9365
774,0.9367
777,0.9369
781,0.9371
782,0.9373
787,0.9375
787,0.9377
792,0.9379
793,0.9381
798,0.9383
803,0.9385
804,0.9387
806,0.9388
810,0.9390
812,0.9392
815,0.9394
815,0.9396
817,0.9398
821,0.9399
824,0.9401
828,0.9403
832,0.9405
835,0.9407
836,0.9408
841,0.9410
846,0.9412
848,0.9413
852,0.9415
854,0.9417
855,0.9419
856,0.9420
861,0.9422
865,0.9424
867,0.9425
869,0.9427
871,0.9429
875,0.9430
878,0.9432
881,0.9433
883,0.9435
885,0.9437
886,0.9438
890,0.9440
895,0.9441
899,0.9443
902,0.9444
906,0.9446
908,0.9448
913,0.9449
913,0.9451
918,0.9452
921,0.9454
924,0.9455
928,0.9457
930,0.9458
934,0.9459
938,0.9461
940,0.9462
945,0.9464
948,0.9465
951,0.9467
951,0.9468
953,0.9469
953,0.9471
957,0.9446
959,0.9421
963,0.9396
966,0.9372
969,0.9347
969,0.9323
974,0.9299
977,0.9275
980,0.9251
985,0.9227
986,0.9203
990,0.9179
991,0.9156
994,0.9133
995,0.9109
999,0.9086
1002,0.9063
1004,0.9066
1006,0.9068
1009,0.9070
1010,0.9073
1011,0.9075
1011,0.9077
1014,0.9080
1016,0.9082
1018,0.9084
1020,0.9086
1023,0.9089
1026,0.9091
1030,0.9093
1034,0.9095
1035,0.9098
1035,0.9100
1036,0.9102
1037,0.9104
1040,0.9106
1043,0.9108
1044,0.9111
1048,0.9113
1053,0.9115
1057,0.9117
1059,0.9119
1061,0.9121
1065,0.9123
1065,0.9125
1066,0.9127
1066,0.9129
1067,0.9131
1069,0.9133
1072,0.9136
1074,0.9138
1077,0.9140
1081,0.9142
1083,0.9144
1087,0.9145
1090,0.9147
1091,0.9149
1096,0.9151
1098,0.9153
1101,0.9155
1104,0.9157
1105,0.9159
1106,0.9161
1108,0.9163
1111,0.9165
1111,0.9167
1115,0.9169
1119,0.9170
1123,0.9172
1125,0.9174
1126,0.9176
1129,0.9178
1132,0.9180
1136,0.9181
1137,0.9183
1137,0.9185
1138,0.9187
1142,0.9189
1145,0.9190
1149,0.9192
1149,0.9194
1151,0.9196
1153,0.9197
1155,0.9199
1157,0.9201
1159,0.9203
1161,0.9204
1163,0.9206
1167,0.9208
1167,0.9209
1171,0.9211
1175,0.9213
1179,0.9214
1184,0.9216
1187,0.9218
1189,0.9219
1192,0.9221
1197,0.9223
1199,0.9224
1203,0.9226
1205,0.9228
1208,0.9229
1213,0.9231
1216,0.9232
1217,0.9234
1222,0.9236
1226,0.9237
1230,0.9239
1232,0.9240
1234,0.9242
1238,0.9243
1239,0.9245
1241,0.9246
1241,0.9248
1244,0.9249
1248,0.9251
1249,0.9253
1250,0.9254
1252,0.9256
1256,0.9257
1257,0.9259
1259,0.9260
1263,0.9261
1265,0.9263
1267,0.9264
1271,0.9266
1275,0.9267
1280,0.9269
1281,0.9270
1285,0.9272
1287,0.9273
1290,0.9275
1293,0.9276
1296,0.9277
1299,0.9279
1299,0.9280
1302,0.9282
1306,0.9283
1307,0.9284
1309,0.9286
1312,0.9287
1316,0.9288
1317,0.9290
1320,0.9291
1325,0.9293
1327,0.9294
1327,0.9295
1328,0.9297
1331,0.9298
1335,0.9299
1338,0.9301
1343,0.9302
1344,0.9303
1345,0.9305
1348,0.9306
1349,0.9307
1354,0.9308
1359,0.9310
1361,0.9311
1366,0.9312
1369,0.9314
1374,0.9315
1375,0.9316
1377,0.9317
1379,0.9319
1382,0.9320
1387,0.9321
1391,0.9322
1394,0.9324
1398,0.9325
1398,0.9326
1402,0.9327
1404,0.9328
1408,0.9330
1412,0.9331
1415,0.9332
1419,0.9333
1422,0.9335
1423,0.9336
1426,0.9337
1427,0.9338
1427,0.9339
1431,0.9340
1435,0.9342
1436,0.9343
1441,0.9344
1443,0.9345
1446,0.9346
1449,0.9347
1453,0.9349
1458,0.9350
1459,0.9351
1462,0.9352
1466,0.9353
1467,0.9354
1468,0.9355
1473,0.9357
1476,0.9358
1480,0.9359
1482,0.9360
1484,0.9361
1485,0.9362
1490,0.9363
1492,0.9364
1497,0.9365
1498,0.9366
1502,0.9368
1506,0.9369
1508,0.9370
1509,0.9371
1511,0.9372
1514,0.9373
1518,0.9374
1522,0.9375
1526,0.9376
1529,0.9377
1529,0.9378
1531,0.9379
1532,0.9380
1533,0.9381
1536,0.9382
1540,0.9383
1541,0.9384
1544,0.9385
1546,0.9386
1547,0.9387
1551,0.9388
1554,0.9389
1558,0.9390
1563,0.9391
1568,0.9392
1572,0.9393
1573,0.9394
1573,0.9395
1576,0.9396
1579,0.9397
1581,0.9398
1584,0.9399
1585,0.9400
1587,0.9401
1592,0.9402
1593,0.9403
1597,0.9404
1600,0.9405
1603,0.9406
1604,0.9407
1609,0.9408
1609,0.9409
1611,0.9410
1613,0.9411
1614,0.9412
1617,0.9413
1620,0.9414
1622,0.9415
1626,0.9415
1629,0.9416
1633,0.9402
1636,0.9387
1638,0.9372
1639,0.9357
1640,0.9343
1645,0.9328
1649,0.9314
1651,0.9299
1652,0.9285
1655,0.9270
1657,0.9256
1660,0.9241
1661,0.9227
1665,0.9213
1669,0.9199
1671,0.9185
1675,0.9171
1680,0.9172
1683,0.9173
1684,0.9174
1689,0.9176
1690,0.9177
1694,0.9178
1695,0.9179
1699,0.9181
1704,0.9182
1707,0.9183
1708,0.9184
1711,0.9186
1713,0.9187
1715,0.9188
1718,0.9189
1723,0.9190
1724,0.9192
1724,0.9193
1726,0.9194
1729,0.9195
1732,0.9196
1735,0.9198
1740,0.9199
1742,0.9200
1745,0.9201
1746,0.9202
1749,0.9204
1750,0.9205
1751,0.9206
1753,0.9207
1757,0.9208
1758,0.9209
1762,0.9211
1764,0.9212
1765,0.9213
1770,0.9214
1770,0.9215
1772,0.9216
1776,0.9217
1777,0.9219
1777,0.9220
1780,0.9221
1782,0.9222
1784,0.9223
1788,0.9224
1790,0.9225
1795,0.9226
1797,0.9227
1798,0.9229
1801,0.9230
1803,0.9231
1804,0.9232
1807,0.9233
1807,0.9234
1810,0.9235
1813,0.9236
1816,0.9237
1820,0.9238
1822,0.9239
1824,0.9241
1827,0.9242
1831,0.9243
1833,0.9244
1836,0.9245
1838,0.9246
1840,0.9247
1843,0.9248
1847,0.9249
1851,0.9250
1856,0.9251
1859,0.9252
1859,0.9253
1863,0.9254
1865,0.9255
1867,0.9256
1868,0.9257
1870,0.9258
1872,0.9259
1872,0.9260
1875,0.9261
1875,0.9262
1876,0.9263
1878,0.9264
1883,0.9265
1883,0.9266
1887,0.9267
1888,0.9268
1892,0.9269
1895,0.9270
1900,0.9271
1902,0.9272
1907,0.9273
1908,0.9274
1910,0.9275
1914,0.9276
1918,0.9277
1921,0.9278
1925,0.9279
1925,0.9280
1925,0.9281
1929,0.9282
1931,0.9283
1931,0.9284
1936,0.9285
1940,0.9286
1943,0.9287
1948,0.9288
1951,0.9289
1955,0.9289
1959,0.9290
1962,0.9291
1964,0.9292
1968,0.9293
1968,0.9294
1971,0.9295
1972,0.9296
1972,0.9297
1974,0.9298
1977,0.9299
1979,0.9300
1980,0.9301
1981,0.9301
1985,0.9302
1986,0.9303
1987,0.9304
1989,0.9305
1992,0.9306
1993,0.9307
1997,0.9308
2002,0.9309
2005,0.9309
2008,0.9310
2010,0.9311
2015,0.9312
2019,0.9313
2023,0.9314
2026,0.9315
2030,0.9316
2032,0.9316
2036,0.9317
2040,0.9318
2041,0.9319
2045,0.9320
2045,0.9321
2048,0.9322
2050,0.9322
2054,0.9323
2054,0.9324
2058,0.9325
2063,0.9326
2066,0.9327
2066,0.9328
2067,0.9328
2070,0.9329
2073,0.9330
2077,0.9331
2078,0.9332
2082,0.9333
2084,0.9333
2086,0.9334
2089,0.9335
2090,0.9336
2093,0.9337
2095,0.9337
2097,0.9338
2100,0.9339
2104,0.9340
2106,0.9341
2108,0.9341
2112,0.9342
2116,0.9343
2120,0.9344
2122,0.9345
2123,0.9345
2125,0.9346
2127,0.9347
2128,0.9348
2130,0.9349
2132,0.9349
2136,0.9350
2138,0.9351
2141,0.9352
2142,0.9353
2144,0.9353
2149,0.9354
2149,0.9355
2149,0.9356
2152,0.9356
2154,0.9357
2155,0.9358
2159,0.9359
2160,0.9359
2164,0.9360
2167,0.9361
2170,0.9362
2175,0.9362
2178,0.9363
2183,0.9364
2187,0.9365
2191,0.9365
2193,0.9366
2195,0.9367
2198,0.9368
2203,0.9368
2203,0.9369
2205,0.9370
2209,0.9371
2214,0.9371
2218,0.9372
2220,0.9373
2225,0.9374
2229,0.9374
2232,0.9375
2233,0.9376
2237,0.9376
2240,0.9377
2242,0.9378
2246,0.9379
2249,0.9379
2253,0.9380
2256,0.9381
2258,0.9381
2262,0.9382
2266,0.9383
2269,0.9384
2273,0.9384
2277,0.9385
2280,0.9386
2285,0.9386
2285,0.9387
2287,0.9388
2291,0.9388
2295,0.9389
2295,0.9390
2298,0.9391
2299,0.9391
2304,0.9392
2305,0.9393
2310,0.9393
2312,0.9394
2316,0.9395
2319,0.9395
2322,0.9396
2323,0.9397
2328,0.9397
2328,0.9398
2328,0.9399
2331,0.9399
2335,0.9400
2336,0.9401
2336,0.9401
2339,0.9402
2342,0.9403
2342,0.9403
2345,0.9404
2346,0.9405
2349,0.9405
2351,0.9406
2351,0.9407
2355,0.9407
2356,0.9408
2360,0.9409
2361,0.9409
2365,0.9410
2367,0.9410
2369,0.9411
2371,0.9412
2373,0.9412
2376,0.9413
2378,0.9414
2381,0.9414
2384,0.9415
2386,0.9416
2387,0.9416
2389,0.9417
2392,0.9417
2395,0.9418
2396,0.9419
2400,0.9419
2404,0.9420
2407,0.9421
2412,0.9421
2414,0.9422
2417,0.9422
2420,0.9423
2423,0.9424
2424,0.9424
2428,0.9425
2431,0.9426
2432,0.9426
2434,0.9427
2437,0.9427
2438,0.9428
2440,0.9429
2444,0.9429
2447,0.9430
2452,0.9430
2455,0.9431
2459,0.9432
2463,0.9432
2467,0.9433
2471,0.9433
2472,0.9434
2476,0.9435
2476,0.9435
2479,0.9436
2479,0.9436
2481,0.9437
2483,0.9437
2486,0.9438
2486,0.9439
2490,0.9439
2494,0.9440
2497,0.9440
2497,0.9441
2500,0.9442
